Nom de la commune;Code Postal;Département
ALLEREY;21230;COTE D'OR
ALLEREY SUR SAONE;71350;SAONE ET LOIRE
ALLERIOT;71380;SAONE ET LOIRE
ALLERY;80270;SOMME
ALLES SUR DORDOGNE;24480;DORDOGNE
ALLEUZE;15100;CANTAL
ALLEVARD;38580;ISERE
ALLEVES;74540;HAUTE SAVOIE
ALLEX;26400;DROME
ALLEYRAC;43150;HAUTE LOIRE
ALLEYRAS;43580;HAUTE LOIRE
ALLEYRAT;19200;CORREZE
ALLEYRAT;23200;CREUSE
ALLEZ ET CAZENEUVE;47110;LOT ET GARONNE
ALLIANCELLES;51250;MARNE
ALLIAT;09400;ARIEGE
ALLIBAUDIERES;10700;AUBE
ALLICHAMPS;52130;HAUTE MARNE
ALLIER;65360;HAUTES PYRENEES
ALLIERES;09240;ARIEGE
ALLIGNY COSNE;58200;NIEVRE
ALLIGNY EN MORVAN;58230;NIEVRE
ALLINEUC;22460;COTES D'ARMOR
ALLINGES;74200;HAUTE SAVOIE
ALLOGNY;18110;CHER
ALLONDANS;25550;DOUBS
ALLONDAZ;73200;SAVOIE
ALLONDRELLE LA MALMAISON;54260;MEURTHE ET MOSELLE
ALLONNE;60000;OISE
ALLONNE;79130;DEUX SEVRES
ALLONNES;28150;EURE ET LOIR
ALLONNES;72700;SARTHE
ALLONNES;49650;MAINE ET LOIRE
ALLONS;47420;LOT ET GARONNE
ALLONS;04170;ALPES DE HAUTE PROVENCE
ALLONVILLE;80260;SOMME
ALLONZIER LA CAILLE;74350;HAUTE SAVOIE
ALLOS;04260;ALPES DE HAUTE PROVENCE
ALLOUAGNE;62157;PAS DE CALAIS
ALLOUE;16490;CHARENTE
ALLOUIS;18500;CHER
ALLOUVILLE BELLEFOSSE;76190;SEINE MARITIME
ALLUY;58110;NIEVRE
ALLUYES;28800;EURE ET LOIR
ALLY;15700;CANTAL
ALLY;43380;HAUTE LOIRE
ALMAYRAC;81190;TARN
ALMENECHES;61570;ORNE
ALMONT LES JUNIES;12300;AVEYRON
ALO;98610;
ALOS;09200;ARIEGE
ALOS;81140;TARN
ALOS SIBAS ABENSE;64470;PYRENEES ATLANTIQUES
ALOXE CORTON;21420;COTE D'OR
ALPUECH;12210;AVEYRON
ALQUINES;62850;PAS DE CALAIS
ALRANCE;12430;AVEYRON
ALSTING;57520;MOSELLE
ALTAGENE;20112;CORSE
ALTECKENDORF;67270;BAS RHIN
ALTENACH;68210;HAUT RHIN
ALTENBACH;68760;HAUT RHIN
ALTENHEIM;67490;BAS RHIN
ALTENSTADT;67160;BAS RHIN
ALTHEN DES PALUDS;84210;VAUCLUSE
ALTIANI;20251;CORSE
ALTIER;48800;LOZERE
ALTILLAC;19120;CORREZE
ALTKIRCH;68130;HAUT RHIN
ALTORF;67120;BAS RHIN
ALTRIPPE;57660;MOSELLE
ALTVILLER;57730;MOSELLE
ALTWILLER;67260;BAS RHIN
ALUZE;71510;SAONE ET LOIRE
ALVIGNAC;46500;LOT
ALVIMARE;76640;SEINE MARITIME
ALZEN;09240;ARIEGE
ALZI;20212;CORSE
ALZING;57320;MOSELLE
ALZITONE;20240;CORSE
ALZON;30770;GARD
ALZONNE;11170;AUDE
AMAGE;70280;HAUTE SAONE
AMAGNE;08300;ARDENNES
AMAGNEY;25220;DOUBS
AMAILLOUX;79350;DEUX SEVRES
AMANCE;10140;AUBE
AMANCE;70160;HAUTE SAONE
AMANCE;54770;MEURTHE ET MOSELLE
AMANCEY;25330;DOUBS
